image_id,card,mask_path
aug_00000,y_3,project/training_data/training_masks/augmented_cards/aug_00000.png
aug_00001,r_3,project/training_data/training_masks/augmented_cards/aug_00001.png
aug_00002,b_3,project/training_data/training_masks/augmented_cards/aug_00002.png
aug_00003,g_3,project/training_data/training_masks/augmented_cards/aug_00003.png
aug_00004,y_2,project/training_data/training_masks/augmented_cards/aug_00004.png
aug_00005,r_2,project/training_data/training_masks/augmented_cards/aug_00005.png
aug_00006,b_2,project/training_data/training_masks/augmented_cards/aug_00006.png
aug_00007,g_2,project/training_data/training_masks/augmented_cards/aug_00007.png
aug_00008,y_1,project/training_data/training_masks/augmented_cards/aug_00008.png
aug_00009,r_1,project/training_data/training_masks/augmented_cards/aug_00009.png
aug_00010,b_1,project/training_data/training_masks/augmented_cards/aug_00010.png
aug_00011,g_1,project/training_data/training_masks/augmented_cards/aug_00011.png
aug_00012,y_6,project/training_data/training_masks/augmented_cards/aug_00012.png
aug_00013,r_6,project/training_data/training_masks/augmented_cards/aug_00013.png
aug_00014,b_6,project/training_data/training_masks/augmented_cards/aug_00014.png
aug_00015,g_6,project/training_data/training_masks/augmented_cards/aug_00015.png
aug_00016,y_5,project/training_data/training_masks/augmented_cards/aug_00016.png
aug_00017,r_5,project/training_data/training_masks/augmented_cards/aug_00017.png
aug_00018,b_5,project/training_data/training_masks/augmented_cards/aug_00018.png
aug_00019,g_5,project/training_data/training_masks/augmented_cards/aug_00019.png
aug_00020,y_4,project/training_data/training_masks/augmented_cards/aug_00020.png
aug_00021,r_4,project/training_data/training_masks/augmented_cards/aug_00021.png
aug_00022,b_4,project/training_data/training_masks/augmented_cards/aug_00022.png
aug_00023,g_4,project/training_data/training_masks/augmented_cards/aug_00023.png
aug_00024,draw_4,project/training_data/training_masks/augmented_cards/aug_00024.png
aug_00025,y_9,project/training_data/training_masks/augmented_cards/aug_00025.png
aug_00026,r_9,project/training_data/training_masks/augmented_cards/aug_00026.png
aug_00027,b_9,project/training_data/training_masks/augmented_cards/aug_00027.png
aug_00028,g_9,project/training_data/training_masks/augmented_cards/aug_00028.png
aug_00029,y_8,project/training_data/training_masks/augmented_cards/aug_00029.png
aug_00030,r_8,project/training_data/training_masks/augmented_cards/aug_00030.png
aug_00031,b_8,project/training_data/training_masks/augmented_cards/aug_00031.png
aug_00032,g_8,project/training_data/training_masks/augmented_cards/aug_00032.png
aug_00033,wild,project/training_data/training_masks/augmented_cards/aug_00033.png
aug_00034,y_7,project/training_data/training_masks/augmented_cards/aug_00034.png
aug_00035,r_7,project/training_data/training_masks/augmented_cards/aug_00035.png
aug_00036,b_7,project/training_data/training_masks/augmented_cards/aug_00036.png
aug_00037,g_7,project/training_data/training_masks/augmented_cards/aug_00037.png
aug_00038,y_reverse,project/training_data/training_masks/augmented_cards/aug_00038.png
aug_00039,r_reverse,project/training_data/training_masks/augmented_cards/aug_00039.png
aug_00040,b_reverse,project/training_data/training_masks/augmented_cards/aug_00040.png
aug_00041,g_reverse,project/training_data/training_masks/augmented_cards/aug_00041.png
aug_00042,y_skip,project/training_data/training_masks/augmented_cards/aug_00042.png
aug_00043,r_skip,project/training_data/training_masks/augmented_cards/aug_00043.png
aug_00044,b_skip,project/training_data/training_masks/augmented_cards/aug_00044.png
aug_00045,g_skip,project/training_data/training_masks/augmented_cards/aug_00045.png
aug_00046,y_draw_2,project/training_data/training_masks/augmented_cards/aug_00046.png
aug_00047,r_draw_2,project/training_data/training_masks/augmented_cards/aug_00047.png
aug_00048,b_draw_2,project/training_data/training_masks/augmented_cards/aug_00048.png
aug_00049,g_draw_2,project/training_data/training_masks/augmented_cards/aug_00049.png
aug_00050,y_0,project/training_data/training_masks/augmented_cards/aug_00050.png
aug_00051,r_0,project/training_data/training_masks/augmented_cards/aug_00051.png
aug_00052,b_0,project/training_data/training_masks/augmented_cards/aug_00052.png
aug_00053,g_0,project/training_data/training_masks/augmented_cards/aug_00053.png
aug_00054,y_3,project/training_data/training_masks/augmented_cards/aug_00054.png
aug_00055,r_3,project/training_data/training_masks/augmented_cards/aug_00055.png
aug_00056,b_3,project/training_data/training_masks/augmented_cards/aug_00056.png
aug_00057,g_3,project/training_data/training_masks/augmented_cards/aug_00057.png
aug_00058,y_2,project/training_data/training_masks/augmented_cards/aug_00058.png
aug_00059,r_2,project/training_data/training_masks/augmented_cards/aug_00059.png
aug_00060,b_2,project/training_data/training_masks/augmented_cards/aug_00060.png
aug_00061,g_2,project/training_data/training_masks/augmented_cards/aug_00061.png
aug_00062,y_1,project/training_data/training_masks/augmented_cards/aug_00062.png
aug_00063,r_1,project/training_data/training_masks/augmented_cards/aug_00063.png
aug_00064,b_1,project/training_data/training_masks/augmented_cards/aug_00064.png
aug_00065,g_1,project/training_data/training_masks/augmented_cards/aug_00065.png
aug_00066,y_6,project/training_data/training_masks/augmented_cards/aug_00066.png
aug_00067,r_6,project/training_data/training_masks/augmented_cards/aug_00067.png
aug_00068,b_6,project/training_data/training_masks/augmented_cards/aug_00068.png
aug_00069,g_6,project/training_data/training_masks/augmented_cards/aug_00069.png
aug_00070,y_5,project/training_data/training_masks/augmented_cards/aug_00070.png
aug_00071,r_5,project/training_data/training_masks/augmented_cards/aug_00071.png
aug_00072,b_5,project/training_data/training_masks/augmented_cards/aug_00072.png
aug_00073,g_5,project/training_data/training_masks/augmented_cards/aug_00073.png
aug_00074,y_4,project/training_data/training_masks/augmented_cards/aug_00074.png
aug_00075,r_4,project/training_data/training_masks/augmented_cards/aug_00075.png
aug_00076,b_4,project/training_data/training_masks/augmented_cards/aug_00076.png
aug_00077,g_4,project/training_data/training_masks/augmented_cards/aug_00077.png
aug_00078,draw_4,project/training_data/training_masks/augmented_cards/aug_00078.png
aug_00079,y_9,project/training_data/training_masks/augmented_cards/aug_00079.png
aug_00080,r_9,project/training_data/training_masks/augmented_cards/aug_00080.png
aug_00081,b_9,project/training_data/training_masks/augmented_cards/aug_00081.png
aug_00082,g_9,project/training_data/training_masks/augmented_cards/aug_00082.png
aug_00083,y_8,project/training_data/training_masks/augmented_cards/aug_00083.png
aug_00084,r_8,project/training_data/training_masks/augmented_cards/aug_00084.png
aug_00085,b_8,project/training_data/training_masks/augmented_cards/aug_00085.png
aug_00086,g_8,project/training_data/training_masks/augmented_cards/aug_00086.png
aug_00087,wild,project/training_data/training_masks/augmented_cards/aug_00087.png
aug_00088,y_7,project/training_data/training_masks/augmented_cards/aug_00088.png
aug_00089,r_7,project/training_data/training_masks/augmented_cards/aug_00089.png
aug_00090,b_7,project/training_data/training_masks/augmented_cards/aug_00090.png
aug_00091,g_7,project/training_data/training_masks/augmented_cards/aug_00091.png
aug_00092,y_reverse,project/training_data/training_masks/augmented_cards/aug_00092.png
aug_00093,r_reverse,project/training_data/training_masks/augmented_cards/aug_00093.png
aug_00094,b_reverse,project/training_data/training_masks/augmented_cards/aug_00094.png
aug_00095,g_reverse,project/training_data/training_masks/augmented_cards/aug_00095.png
aug_00096,y_skip,project/training_data/training_masks/augmented_cards/aug_00096.png
aug_00097,r_skip,project/training_data/training_masks/augmented_cards/aug_00097.png
aug_00098,b_skip,project/training_data/training_masks/augmented_cards/aug_00098.png
aug_00099,g_skip,project/training_data/training_masks/augmented_cards/aug_00099.png
aug_00100,y_draw_2,project/training_data/training_masks/augmented_cards/aug_00100.png
aug_00101,r_draw_2,project/training_data/training_masks/augmented_cards/aug_00101.png
aug_00102,b_draw_2,project/training_data/training_masks/augmented_cards/aug_00102.png
aug_00103,g_draw_2,project/training_data/training_masks/augmented_cards/aug_00103.png
aug_00104,y_0,project/training_data/training_masks/augmented_cards/aug_00104.png
aug_00105,r_0,project/training_data/training_masks/augmented_cards/aug_00105.png
aug_00106,b_0,project/training_data/training_masks/augmented_cards/aug_00106.png
aug_00107,g_0,project/training_data/training_masks/augmented_cards/aug_00107.png
aug_00108,y_3,project/training_data/training_masks/augmented_cards/aug_00108.png
aug_00109,r_3,project/training_data/training_masks/augmented_cards/aug_00109.png
aug_00110,b_3,project/training_data/training_masks/augmented_cards/aug_00110.png
aug_00111,g_3,project/training_data/training_masks/augmented_cards/aug_00111.png
aug_00112,y_2,project/training_data/training_masks/augmented_cards/aug_00112.png
aug_00113,r_2,project/training_data/training_masks/augmented_cards/aug_00113.png
aug_00114,b_2,project/training_data/training_masks/augmented_cards/aug_00114.png
aug_00115,g_2,project/training_data/training_masks/augmented_cards/aug_00115.png
aug_00116,y_1,project/training_data/training_masks/augmented_cards/aug_00116.png
aug_00117,r_1,project/training_data/training_masks/augmented_cards/aug_00117.png
aug_00118,b_1,project/training_data/training_masks/augmented_cards/aug_00118.png
aug_00119,g_1,project/training_data/training_masks/augmented_cards/aug_00119.png
aug_00120,y_6,project/training_data/training_masks/augmented_cards/aug_00120.png
aug_00121,r_6,project/training_data/training_masks/augmented_cards/aug_00121.png
aug_00122,b_6,project/training_data/training_masks/augmented_cards/aug_00122.png
aug_00123,g_6,project/training_data/training_masks/augmented_cards/aug_00123.png
aug_00124,y_5,project/training_data/training_masks/augmented_cards/aug_00124.png
aug_00125,r_5,project/training_data/training_masks/augmented_cards/aug_00125.png
aug_00126,b_5,project/training_data/training_masks/augmented_cards/aug_00126.png
aug_00127,g_5,project/training_data/training_masks/augmented_cards/aug_00127.png
aug_00128,y_4,project/training_data/training_masks/augmented_cards/aug_00128.png
aug_00129,r_4,project/training_data/training_masks/augmented_cards/aug_00129.png
aug_00130,b_4,project/training_data/training_masks/augmented_cards/aug_00130.png
aug_00131,g_4,project/training_data/training_masks/augmented_cards/aug_00131.png
aug_00132,draw_4,project/training_data/training_masks/augmented_cards/aug_00132.png
aug_00133,y_9,project/training_data/training_masks/augmented_cards/aug_00133.png
aug_00134,r_9,project/training_data/training_masks/augmented_cards/aug_00134.png
