image_id,card
L1000765_crop_0,b_3
L1000765_crop_1,b_2
L1000765_crop_2,g_3
L1000765_crop_3,r_3
L1000765_crop_4,g_2
L1000765_crop_5,g_1
L1000765_crop_6,b_1
L1000765_crop_7,r_2
L1000765_crop_8,y_3
L1000765_crop_9,r_1
L1000765_crop_10,y_2
L1000765_crop_11,y_1
L1000766_crop_0,g_6
L1000766_crop_1,g_5
L1000766_crop_2,b_5
L1000766_crop_3,b_6
L1000766_crop_4,r_6
L1000766_crop_5,b_4
L1000766_crop_6,g_4
L1000766_crop_7,r_5
L1000766_crop_8,r_4
L1000766_crop_9,y_6
L1000766_crop_10,y_4
L1000766_crop_11,y_5
L1000767_crop_0,b_9
L1000767_crop_1,g_7
L1000767_crop_2,r_9
L1000767_crop_3,r_8
L1000767_crop_4,b_7
L1000767_crop_5,wild
L1000767_crop_6,g_9
L1000767_crop_7,g_8
L1000767_crop_8,b_8
L1000767_crop_9,draw_4
L1000767_crop_10,r_7
L1000767_crop_11,y_9
L1000767_crop_12,y_7
L1000767_crop_13,y_8
L1000768_crop_0,g_skip
L1000768_crop_1,g_reverse
L1000768_crop_2,b_reverse
L1000768_crop_3,b_0
L1000768_crop_4,b_skip
L1000768_crop_5,r_skip
L1000768_crop_6,g_0
L1000768_crop_7,r_reverse
L1000768_crop_8,r_0
L1000768_crop_9,b_draw_2
L1000768_crop_10,r_draw_2
L1000768_crop_11,y_skip
L1000768_crop_12,y_reverse
L1000768_crop_13,y_0
L1000768_crop_14,g_draw_2
L1000768_crop_15,y_draw_2
