image_id,card
ref_L1000765_card_00,y_3
ref_L1000765_card_01,r_3
ref_L1000765_card_02,b_3
ref_L1000765_card_03,g_3
ref_L1000765_card_04,y_2
ref_L1000765_card_05,r_2
ref_L1000765_card_06,b_2
ref_L1000765_card_07,g_2
ref_L1000765_card_08,y_1
ref_L1000765_card_09,r_1
ref_L1000765_card_10,b_1
ref_L1000765_card_11,g_1
ref_L1000766_card_00,y_6
ref_L1000766_card_01,r_6
ref_L1000766_card_02,b_6
ref_L1000766_card_03,g_6
ref_L1000766_card_04,y_5
ref_L1000766_card_05,r_5
ref_L1000766_card_06,b_5
ref_L1000766_card_07,g_5
ref_L1000766_card_08,y_4
ref_L1000766_card_09,r_4
ref_L1000766_card_10,b_4
ref_L1000766_card_11,g_4
ref_L1000767_card_00,draw_4
ref_L1000767_card_01,y_9
ref_L1000767_card_02,r_9
ref_L1000767_card_03,b_9
ref_L1000767_card_04,g_9
ref_L1000767_card_05,y_8
ref_L1000767_card_06,r_8
ref_L1000767_card_07,b_8
ref_L1000767_card_08,g_8
ref_L1000767_card_09,wild
ref_L1000767_card_10,y_7
ref_L1000767_card_11,r_7
ref_L1000767_card_12,b_7
ref_L1000767_card_13,g_7
ref_L1000768_card_00,y_reverse
ref_L1000768_card_01,r_reverse
ref_L1000768_card_02,b_reverse
ref_L1000768_card_03,g_reverse
ref_L1000768_card_04,y_skip
ref_L1000768_card_05,r_skip
ref_L1000768_card_06,b_skip
ref_L1000768_card_07,g_skip
ref_L1000768_card_08,y_draw_2
ref_L1000768_card_09,b_draw_2
ref_L1000768_card_10,r_draw_2
ref_L1000768_card_11,g_draw_2
ref_L1000768_card_12,y_0
ref_L1000768_card_13,r_0
ref_L1000768_card_14,b_0
ref_L1000768_card_15,g_0
