image_id,card
L1000765_crop_0,y_3
L1000765_crop_1,r_3
L1000765_crop_2,b_3
L1000765_crop_3,g_3
L1000765_crop_4,y_2
L1000765_crop_5,r_2
L1000765_crop_6,b_2
L1000765_crop_7,g_2
L1000765_crop_8,y_1
L1000765_crop_9,r_1
L1000765_crop_10,b_1
L1000765_crop_11,g_1
L1000766_crop_0,y_6
L1000766_crop_1,r_6
L1000766_crop_2,b_6
L1000766_crop_3,g_6
L1000766_crop_4,y_5
L1000766_crop_5,r_5
L1000766_crop_6,b_5
L1000766_crop_7,g_5
L1000766_crop_8,y_4
L1000766_crop_9,r_4
L1000766_crop_10,b_4
L1000766_crop_11,g_4
L1000767_crop_0,draw_4
L1000767_crop_1,y_9
L1000767_crop_2,r_9
L1000767_crop_3,b_9
L1000767_crop_4,g_9
L1000767_crop_5,y_8
L1000767_crop_6,r_8
L1000767_crop_7,b_8
L1000767_crop_8,g_8
L1000767_crop_9,wild
L1000767_crop_10,y_7
L1000767_crop_11,r_7
L1000767_crop_12,b_7
L1000767_crop_13,g_7
L1000768_crop_0,y_reverse
L1000768_crop_1,r_reverse
L1000768_crop_2,b_reverse
L1000768_crop_3,g_reverse
L1000768_crop_4,y_skip
L1000768_crop_5,r_skip
L1000768_crop_6,b_skip
L1000768_crop_7,g_skip
L1000768_crop_8,y_draw_2
L1000768_crop_9,b_draw_2
L1000768_crop_10,r_draw_2
L1000768_crop_11,g_draw_2
L1000768_crop_12,y_0
L1000768_crop_13,r_0
L1000768_crop_14,b_0
L1000768_crop_15,g_0
