image_name,output_tag,image_id,source_image_id,component_id,x,y,w,h,area,card
L1000765,L1000765,L1000765_crop_0,L1000765_crop_0,3,1269,666,357,549,185144,y_3
L1000765,L1000765,L1000765_crop_1,L1000765_crop_1,4,1702,670,365,550,185454,r_3
L1000765,L1000765,L1000765_crop_2,L1000765_crop_2,2,2135,664,353,546,186583,b_3
L1000765,L1000765,L1000765_crop_3,L1000765_crop_3,1,2558,654,354,548,187396,g_3
L1000765,L1000765,L1000765_crop_4,L1000765_crop_4,7,1296,1311,349,538,180362,y_2
L1000765,L1000765,L1000765_crop_5,L1000765_crop_5,8,1720,1312,352,540,183301,r_2
L1000765,L1000765,L1000765_crop_6,L1000765_crop_6,6,2144,1297,358,543,183153,b_2
L1000765,L1000765,L1000765_crop_7,L1000765_crop_7,5,2562,1281,352,541,184630,g_2
L1000765,L1000765,L1000765_crop_8,L1000765_crop_8,12,1310,1916,348,536,178288,y_1
L1000765,L1000765,L1000765_crop_9,L1000765_crop_9,11,1740,1913,348,537,180504,r_1
L1000765,L1000765,L1000765_crop_10,L1000765_crop_10,10,2183,1898,364,539,180600,b_1
L1000765,L1000765,L1000765_crop_11,L1000765_crop_11,9,2594,1890,353,536,182421,g_1
L1000766,L1000766,L1000766_crop_0,L1000766_crop_0,4,1518,666,375,556,184934,y_6
L1000766,L1000766,L1000766_crop_1,L1000766_crop_1,3,1982,659,362,552,188141,r_6
L1000766,L1000766,L1000766_crop_2,L1000766_crop_2,2,2472,638,359,549,189177,b_6
L1000766,L1000766,L1000766_crop_3,L1000766_crop_3,1,2938,598,371,558,191324,g_6
L1000766,L1000766,L1000766_crop_4,L1000766_crop_4,7,1568,1308,370,549,181452,y_5
L1000766,L1000766,L1000766_crop_5,L1000766_crop_5,6,2020,1302,360,545,184737,r_5
L1000766,L1000766,L1000766_crop_6,L1000766_crop_6,8,2494,1321,360,543,184811,b_5
L1000766,L1000766,L1000766_crop_7,L1000766_crop_7,5,2967,1289,390,560,187567,g_5
L1000766,L1000766,L1000766_crop_8,L1000766_crop_8,9,1630,1894,403,556,179275,y_4
L1000766,L1000766,L1000766_crop_9,L1000766_crop_9,10,2044,1899,362,541,182289,r_4
L1000766,L1000766,L1000766_crop_10,L1000766_crop_10,11,2532,1910,368,542,182328,b_4
L1000766,L1000766,L1000766_crop_11,L1000766_crop_11,12,3017,1916,355,540,183894,g_4
L1000767,L1000767,L1000767_crop_0,L1000767_crop_0,5,1147,919,366,548,181683,draw_4
L1000767,L1000767,L1000767_crop_1,L1000767_crop_1,4,1741,701,366,557,187505,y_9
L1000767,L1000767,L1000767_crop_2,L1000767_crop_2,2,2240,647,382,563,189557,r_9
L1000767,L1000767,L1000767_crop_3,L1000767_crop_3,3,2758,698,388,568,191270,b_9
L1000767,L1000767,L1000767_crop_4,L1000767_crop_4,1,3275,639,365,561,195149,g_9
L1000767,L1000767,L1000767_crop_5,L1000767_crop_5,9,1809,1360,364,545,182970,y_8
L1000767,L1000767,L1000767_crop_6,L1000767_crop_6,7,2260,1341,367,549,185166,r_8
L1000767,L1000767,L1000767_crop_7,L1000767_crop_7,8,2721,1352,357,542,186064,b_8
L1000767,L1000767,L1000767_crop_8,L1000767_crop_8,6,3233,1331,358,549,190288,g_8
L1000767,L1000767,L1000767_crop_9,L1000767_crop_9,10,1216,1785,375,544,178230,wild
L1000767,L1000767,L1000767_crop_10,L1000767_crop_10,14,1876,1993,377,548,180789,y_7
L1000767,L1000767,L1000767_crop_11,L1000767_crop_11,13,2330,1976,372,549,183936,r_7
L1000767,L1000767,L1000767_crop_12,L1000767_crop_12,12,2754,1959,382,549,183826,b_7
L1000767,L1000767,L1000767_crop_13,L1000767_crop_13,11,3261,1934,359,541,186003,g_7
L1000768,L1000768,L1000768_crop_0,L1000768_crop_0,4,1718,351,351,551,187698,y_reverse
L1000768,L1000768,L1000768_crop_1,L1000768_crop_1,3,2178,310,356,550,189000,r_reverse
L1000768,L1000768,L1000768_crop_2,L1000768_crop_2,1,2635,194,406,582,193157,b_reverse
L1000768,L1000768,L1000768_crop_3,L1000768_crop_3,2,3122,242,370,565,194179,g_reverse
L1000768,L1000768,L1000768_crop_4,L1000768_crop_4,8,1801,1056,387,561,185334,y_skip
L1000768,L1000768,L1000768_crop_5,L1000768_crop_5,7,2219,1036,373,554,187574,r_skip
L1000768,L1000768,L1000768_crop_6,L1000768_crop_6,6,2646,967,419,578,187597,b_skip
L1000768,L1000768,L1000768_crop_7,L1000768_crop_7,5,3196,925,404,572,192727,g_skip
L1000768,L1000768,L1000768_crop_8,L1000768_crop_8,14,123,1747,361,533,171609,y_draw_2
L1000768,L1000768,L1000768_crop_9,L1000768_crop_9,15,572,1756,354,537,174728,b_draw_2
L1000768,L1000768,L1000768_crop_10,L1000768_crop_10,16,969,1757,356,535,176628,r_draw_2
L1000768,L1000768,L1000768_crop_11,L1000768_crop_11,13,1353,1713,418,565,178053,g_draw_2
L1000768,L1000768,L1000768_crop_12,L1000768_crop_12,12,1890,1671,384,553,181604,y_0
L1000768,L1000768,L1000768_crop_13,L1000768_crop_13,11,2349,1651,369,549,185033,r_0
L1000768,L1000768,L1000768_crop_14,L1000768_crop_14,10,2802,1618,374,549,185825,b_0
L1000768,L1000768,L1000768_crop_15,L1000768_crop_15,9,3248,1610,384,561,187162,g_0
